trade_date,day_index,strategy_nav,benchmark_nav,position,target_position,traded_notional,strategy_nav_norm,benchmark_nav_norm,excess_nav,drawdown,strategy_daily_return,benchmark_daily_return,daily_excess_return,turnover_ratio
2024-05-16,571,119898.74275,113484.36184198988,0.394215976881042,0.4608055353164673,24240.0,0.5905889930425474,0.5674218092099494,0.04082885686902804,-0.411645309948513,0.010103329620448687,0.002895174864450567,0.00720815475599812,0.20421318980010467
2024-05-17,572,121048.01225,114759.8686710404,0.3290512521406563,0.4606209546327591,47425.0,0.596249985820051,0.573799343355202,0.03912629514975108,-0.40600573371152093,0.009585334038041848,0.011239494220591117,-0.0016541601825492691,0.395542095874062
2024-05-20,573,121167.68475,115436.05097473692,0.33516362125587285,0.4605545997619629,655.0,0.5968394604020927,0.5771802548736846,0.034060772804347605,-0.40541848921645574,0.0009886366390952084,0.005892149507723765,-0.004903512868628557,0.005411076050114982
2024-05-21,574,122048.41075000001,114547.10369554229,0.34161854090345045,0.46047012507915497,41749.0,0.6011776800494075,0.5727355184777114,0.049660202055030966,-0.40109668182410674,0.007268654194533486,-0.007700776938299625,0.014969431132833111,0.344555564349842
2024-05-22,575,122987.10175,115559.0664949007,0.41418977498589604,0.46031850576400757,29836.0,0.6058014197130004,0.5777953324745035,0.04847060137809733,-0.3964904345883815,0.0076911366090852695,0.008834468674547624,-0.0011433320654623547,0.24446037286888636
2024-05-23,576,119922.80724999998,113967.77819177462,0.319280384424123,0.460074320435524,11855.0,0.590707528304028,0.5698388909588731,0.036621995578502986,-0.4115272231269669,-0.024915576157156005,-0.013770345775476645,-0.01114523038167936,0.09639222187785232
2024-05-24,577,118597.47475,111906.00829067132,0.3129830553158553,0.46000833809375763,20485.0,0.5841792964921764,0.5595300414533566,0.04405349706477657,-0.4180307574791038,-0.011051546660654,-0.01809081420920511,0.007039267548551109,0.17081821606540154
2024-05-27,578,118654.05875,112668.81404878962,0.4046890642078436,0.4597535878419876,10832.0,0.5844580140734942,0.5633440702439481,0.03747965931442754,-0.41775309433586894,0.00047710965279224027,0.006816486172368297,-0.0063393765195760565,0.09133415380752026
2024-05-28,579,117646.36975,111148.69149478532,0.3049817863164452,0.45954202115535736,47854.0,0.5794944087999097,0.5557434574739266,0.04273725764391445,-0.42269792140965645,-0.008492663551637691,-0.01349195486646404,0.0049992913148263485,0.40330689488529614
2024-05-29,580,116363.75775,111444.90469543182,0.14620531623386834,0.4593662768602371,17612.0,0.5731766066931459,0.5572245234771591,0.028627747961348593,-0.4289918221496316,-0.010902265855933901,0.002665017434419381,-0.013567283290353283,0.14970287682846245
2024-05-30,581,114524.49025,111573.27995338076,0.3993818256702522,0.4591643810272217,30535.0,0.5641168691525628,0.5578663997669038,0.011204240635877438,-0.4380172850949825,-0.015806188589677084,0.0011519167996039137,-0.016958105389280997,0.2624098825134409
2024-05-31,582,114580.84175,111078.19032853469,0.44242998415570634,0.4590960741043091,41146.0,0.5643944415013474,0.5553909516426735,0.01621108488001899,-0.43774076285166275,0.000492047595034073,-0.004437349381975042,0.004929396977009115,0.3592768665477644
